Rank,Feature,RF_Importance,XGB_Importance
1,cycle_day,0.140143,0.109599
2,lh_miu_ml,0.100968,0.184661
3,progesterone_ng_ml,0.09248,0.424083
4,lh_miu_ml_zscore,0.072295,0.0
5,progesterone_ng_ml_zscore,0.066564,0.0
6,wellbeing_score,0.061722,0.191633
7,cycle_day_sin,0.060328,0.006047
8,lh_to_fsh_ratio,0.056766,0.000237
9,estrogen_to_progesterone,0.0549,0.026525
10,cycle_day_cos,0.051676,0.046943
11,estrogen_e2_pg_ml_zscore,0.046373,0.0
12,estrogen_e2_pg_ml,0.045474,0.001845
13,bbt_celsius,0.02379,0.0
14,is_early_cycle,0.019841,0.0
15,lh_surge,0.01621,0.0
16,energy_level_1_10,0.015277,0.0
17,bbt_celsius_zscore,0.015059,0.0
18,fertility_flag,0.013007,9.5e-05
19,cervical_mucus_score,0.010919,0.005556
20,is_mid_cycle,0.010475,0.0
21,physical_discomfort,0.006411,0.000328
22,mood_score_1_10,0.004422,0.0
23,libido_1_10,0.003576,0.0
24,cramping_0_10,0.003479,0.000184
25,breast_tenderness_0_10,0.00169,0.00121
26,fsh_miu_ml,0.001652,0.000632
27,testosterone_ng_dl,0.001488,0.00039
28,is_late_cycle,0.001381,0.0
29,cervical_mucus_label,0.001115,0.0
30,prolactin_ng_ml,0.000516,3.1e-05
